TUCURUI	FURNAS	AVERMELHA	S.DO FACÃO	NOVA PONTE	SÃO SIMÃO	EMBORCAÇÃO	ITUMBIARA	CHAVANTES	CAPIVARA	TRÊS MARIAS	B. BONITA	SERRA DA MESA	IRAPE	ITAPARICA	SOBRADINHO	G. P. SOUZA	SALTO SANTIAGO	SANTA CLARA-PR	SEGREDO	G. B. MUNHOZ	MAUA	PASSO FUNDO	MACHADINHO	CAMPOS NOVOS	BARRA GRANDE
0.2232	0.4738	0.5655	0.4673	0.3405	0.4054	0.3368	0.4313	0.8349	0.991	0.2493	0.7721	0.3322	0.4244	0.2852	0.2439	0.6438	0.8814	0.3317	0.6066	0.6107	0.9975	0.983	0.9934	0.886	0.9862
0.2326	0.497	0.4112	0.4604	0.3326	0.3747	0.3262	0.3744	0.6608	0.975	0.2129	0.8013	0.2918	0.3975	0.2964	0.2158	0.5818	0.6808	0.6142	0.4946	0.3971	0.8012	0.9936	0.5535	0.342	0.7138
0.4428	0.459	0.3818	0.5364	0.3552	0.3062	0.3779	0.3682	0.5341	0.7872	0.2972	0.7893	0.313	0.8554	0.4204	0.3304	0.4578	0.5537	0.8655	0.9856	0.4743	0.9975	0.9755	0.3969	0.4299	0.4812
0.6841	0.342	0.2747	0.5248	0.3418	0.1896	0.3999	0.2919	0.5248	0.6474	0.2745	0.7818	0.3302	0.8696	0.3328	0.5049	0.52	0.4291	0.4474	0.7631	0.1535	1.0051	0.9682	0.4353	0.22	0.3788
0.9839	0.2755	0.3012	0.4792	0.2874	0.3341	0.3993	0.1599	0.4832	0.373	0.2141	0.7764	0.3457	0.7853	0.2888	0.5265	0.5154	0.4806	0.7508	0.6899	0.3531	0.9938	0.8629	0.1925	0.484	0.1931
0.9931	0.2901	0.1422	0.5368	0.2548	0.4317	0.3749	0.2351	0.5178	0.3128	0.1883	0.8376	0.4018	0.7141	0.257	0.5414	0.658	0.7781	0.8513	0.3634	0.1861	0.9963	0.8431	0.5589	0.202	0.3206
0.99	0.294	0.23	0.6029	0.2516	0.5327	0.3704	0.3527	0.4867	0.3022	0.1804	0.8476	0.453	0.6357	0.2719	0.5772	0.6344	0.8495	1.0291	0.1806	0.197	0.9988	0.8698	0.3715	0.31	0.3171
0.9946	0.2911	0.1613	0.556	0.2368	0.3902	0.3657	0.4118	0.4524	0.2832	0.153	0.8365	0.4787	0.5929	0.255	0.5444	0.6379	0.9788	1.038	1.0042	0.936	0.9888	0.9904	0.9904	0.992	0.5888
0.9885	0.2854	0.1764	0.5373	0.2267	0.1431	0.3646	0.4329	0.5076	0.684	0.1213	0.8144	0.4602	0.5605	0.2494	0.4895	0.498	0.9788	0.7878	0.9917	0.8776	0.9925	1.0075	0.9956	0.96	1
0.9181	0.2758	0.1488	0.4739	0.2187	0.2158	0.3631	0.3343	0.445	0.8032	0.0944	0.7593	0.4342	0.5196	0.242	0.434	0.3127	0.9697	0.1327	0.9133	0.6442	0.8372	0.9968	0.8269	0.638	0.9139
0.6484	0.2194	0.2221	0.4281	0.2038	0.2014	0.3478	0.2348	0.3367	0.6625	0.0725	0.6903	0.392	0.4786	0.2327	0.3642	0.2348	0.9742	0.8648	1.0167	0.5491	1.0089	0.9915	0.3338	0.148	0.7205
0.3429	0.133	0.1629	0.3479	0.1717	0.1845	0.2846	0.1677	0.3365	0.644	0.0506	0.6408	0.3398	0.4141	0.1846	0.2949	0.216	0.9737	0.7005	0.9876	0.7038	0.9988	0.9755	0.5807	0.98	0.7696
0.227	0.1131	0.143	0.2659	0.1283	0.1085	0.2038	0.1392	0.285	0.5271	0.0291	0.5014	0.2901	0.3375	0.1502	0.2075	0.1648	0.8901	0.2601	0.7977	0.462	0.9813	0.9713	0.9042	0.4019	0.9555
0.184	0.1321	0.2441	0.2068	0.1079	0.2259	0.1558	0.1237	0.2047	0.1971	0.0426	0.4561	0.2569	0.325	0.1975	0.1578	0.3647	0.5685	0.3403	0.4248	0.5025	0.9988	0.9173	0.4964	0.568	0.7246
